Original Danish;English Translation;Suggested Group
Anden bygning til institutionsformål;Other building for institutional purposes;Institutional & Public
Forlystelsespark;Amusement park;Leisure & Sports
Anden bygning til kontor, handel og lager;Other building for office, trade, and storage;Office
Bygning til jernbane- og busdrift;Building for railway and bus operations;Transport & Parking
Hotel, kro eller konferencecenter med overnatning;Hotel, inn, or conference center with accommodation;Commercial
Kollegium;Dormitory;Institutional & Public
Faldefærdig bygning;Dilapidated building;Miscellaneous
Idrætshal;Sports hall;Leisure & Sports
Bygning med ferielejligheder til erhvervsmæssig udlejning;Building with holiday apartments for commercial rental;Leisure & Sports
Anden bygning til idrætformål;Other building for sports purposes;Leisure & Sports
Bygning til vandforsyning;Building for water supply;Energy & Utilities
Anden bygning til sundhedsformål;Other building for health purposes;Institutional & Public
Anden bygning til energiproduktion og forsyning;Other building for energy production and supply;Energy & Utilities
Kirke eller anden bygning til trosudøvelse for statsanerkendte trossamfund;Church or other building for worship for state-recognized religious communities;Institutional & Public
Dobbelthus;Semi-detached house;Residential Buildings
Sammenbygget enfamiliehus;Attached single-family house;Residential Buildings
Privat servicevirksomhed som frisør, vaskeri, netcafé mv.;Private service business such as hairdresser, laundry, internet café, etc.;Commercial
Anden bygning til kulturelle formål;Other building for cultural purposes;Institutional & Public
Biograf, teater, koncertsted mv.;Cinema, theater, concert venue, etc.;Institutional & Public
Bygning til træning og opstaldning af heste;Building for horse training and stabling;Agricultural & Rural
Anneks i tilknytning til helårsbolig.;Annex to year-round residence;Residential Buildings
Havneanlæg;Port facility;Residential Buildings
Museum;Museum;Institutional & Public
Servicefunktion på døgninstitution;Service function at 24-hour institution;Institutional & Public
Tribune i forbindelse med stadion;Stadium grandstand;Leisure & Sports
Bed & breakfast mv.;Bed & breakfast, etc.;Commercial
Svømmehal;Swimming pool;Leisure & Sports
Bibliotek;Library;Institutional & Public
Butikscenter;Shopping center;Commercial
Bygning til luftfart;Aviation building;Transport & Parking
Kaserne;Barracks;Institutional & Public
Hospice, behandlingshjem mv.;Hospice, treatment home, etc.;Institutional & Public
Bygning med ferielejligheder til eget brug;Building with holiday apartments for own use;Leisure & Sports
(UDFASES) Anden bygning til transport, handel etc;(Phased out) Other building for transport, trade, etc.;Transport & Parking
(UDFASES) Bygning i forbindelse med idrætsudøvelse (klubhus, idrætshal, svømmehal o. lign.);(Phased out) Building for sports activities (clubhouse, sports hall, swimming pool, etc.);Leisure & Sports
(UDFASES) Bygning til feriekoloni, vandrehjem o.lign. bortset fra sommerhus;(Phased out) Building for holiday camp, hostel, etc., except holiday home;Leisure & Sports
(UDFASES) Bygning til hospital, sygehjem, fødeklinik o. lign.;(Phased out) Building for hospital, nursing home, maternity clinic, etc.;Institutional & Public
(UDFASES) Bygning til undervisning og forskning (skole, gymnasium, forskningslabratorium o.lign.).;(Phased out) Building for education and research (school, high school, research lab, etc.);Institutional & Public
Maskinhus,  garage mv.;Machine shed, garage, etc.;Agricultural & Rural
Fritiliggende enfamiliehus i tæt-lav bebyggelse;Detached single-family house in dense low-rise development;Residential Buildings
